Sales Person,Country,Product,Date,Amount,Boxes Shipped,3%,5%,First Name,Second Name
Jehu Rudeforth,UK,Mint Chip Choco,04-01-22,"$5,320.00 ",180,$159.60 ,$266.00 ,Jehu,Rudeforth
Van Tuxwell,India,85% Dark Bars,01-08-22,"$7,896.00 ",94,$236.88 ,$394.80 ,Van,Tuxwell
Gigi Bohling,India,Peanut Butter Cubes,07-07-22,"$4,501.00 ",91,$135.03 ,$225.05 ,Gigi,Bohling
Jan Morforth,Australia,Peanut Butter Cubes,27-04-22,"$12,726.00 ",342,$381.78 ,$636.30 ,Jan,Morforth
Jehu Rudeforth,UK,Peanut Butter Cubes,24-02-22,"$13,685.00 ",184,$410.55 ,$684.25 ,Jehu,Rudeforth
Van Tuxwell,India,Smooth Sliky Salty,06-06-22,"$5,376.00 ",38,$161.28 ,$268.80 ,Van,Tuxwell
Oby Sorrel,UK,99% Dark & Pure,25-01-22,"$13,685.00 ",176,$410.55 ,$684.25 ,Oby,Sorrel
Gunar Cockshoot,Australia,After Nines,24-03-22,"$3,080.00 ",73,$92.40 ,$154.00 ,Gunar,Cockshoot
Jehu Rudeforth,New Zealand,50% Dark Bites,20-04-22,"$3,990.00 ",59,$119.70 ,$199.50 ,Jehu,Rudeforth
Brien Boise,Australia,99% Dark & Pure,04-07-22,"$2,835.00 ",102,$85.05 ,$141.75 ,Brien,Boise
Rafaelita Blaksland,UK,Smooth Sliky Salty,13-01-22,"$4,704.00 ",62,$141.12 ,$235.20 ,Rafaelita,Blaksland
Barr Faughny,USA,Orange Choco,10-03-22,"$3,703.00 ",11,$111.09 ,$185.15 ,Barr,Faughny
Mallorie Waber,Canada,Eclairs,13-01-22,"$1,442.00 ",286,$43.26 ,$72.10 ,Mallorie,Waber
Karlen McCaffrey,New Zealand,Drinking Coco,28-07-22,$168.00 ,156,$5.04 ,$8.40 ,Karlen,McCaffrey
Marney O'Breen,New Zealand,Peanut Butter Cubes,03-08-22,"$8,379.00 ",173,$251.37 ,$418.95 ,Marney,O'Breen
Beverie Moffet,Australia,Organic Choco Syrup,26-01-22,"$6,790.00 ",356,$203.70 ,$339.50 ,Beverie,Moffet
Van Tuxwell,Canada,Organic Choco Syrup,14-02-22,"$4,067.00 ",42,$122.01 ,$203.35 ,Van,Tuxwell
Roddy Speechley,USA,Smooth Sliky Salty,05-04-22,"$3,017.00 ",140,$90.51 ,$150.85 ,Roddy,Speechley
Beverie Moffet,Canada,Milk Bars,16-02-22,"$8,799.00 ",250,$263.97 ,$439.95 ,Beverie,Moffet
Curtice Advani,UK,85% Dark Bars,08-06-22,"$1,085.00 ",172,$32.55 ,$54.25 ,Curtice,Advani
Brien Boise,Australia,Eclairs,27-06-22,"$6,888.00 ",88,$206.64 ,$344.40 ,Brien,Boise
